n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
192,1691975,0.841678045,165.9484384,0,1.01376102
193,1540118,0.841395694,166.7898341,1,1.013420941
194,1687379,0.841228727,167.6310628,1,1.013219838
195,1682869,0.841228727,168.4722915,1,1.013219838
196,1696428,0.840903547,169.3131951,1,1.012828174
197,1687609,0.840744792,170.1539398,1,1.012636962
198,1323564,0.840704596,170.9946444,0,1.012588547
199,1638942,0.84048318,171.8351276,1,1.012321862
200,1683666,0.840353862,172.6754815,1,1.012166104
201,1563676,0.840206079,173.5156876,1,1.011988107
202,1588825,0.840040583,174.3557281,1,1.011788775
203,1693131,0.839941861,175.19567,1,1.011669869
204,1687911,0.839894074,176.0355641,1,1.011612312
205,1528973,0.83981869,176.8753828,0,1.011521515
206,1596619,0.839576199,177.714959,1,1.011229446
207,1694428,0.83927646,178.5542354,1,1.010868426
208,1679407,0.838890128,179.3931256,1,1.010403106
209,1695038,0.838864795,180.2319904,1,1.010372594
210,1683723,0.838448803,181.0704392,0,1.009871552
211,1638665,0.838353799,181.908793,0,1.009757124
